lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2018-2021 - by Evandro Neto
menu_start_game_0|Bem-vindo, Aventureiro, ao Prophesy of Pendor! ^ Antes de começar o jogo você deve criar seu personagem. ^^ Mas seja cuidadoso, as escolhas de suas experiências de vida irão impactar suas opções e oportunidades em Pendor para sempre.
mno_continue|Continuar...
mno_go_back|Retornar
menu_start_phase_2|Pela graça divina você chega a Pendor, uma terra atormentada por constantes conflitos por mais de 150 anos. Você aceitou um desafio intimidador: afastar a influência do mal, reunir as facções guerreiras do antigo Reino e criar uma nova oportunidade para Pendor, conforme profetizado pela andarilha louca, Madigan. Estas são terras perigosas, onde muitos poderosos, grandes e pequenos, competem uns contra os outros pela supremacia. Aqui encontrará honra e nobreza, mas também engano e trapaças. Haverá valentes cavaleiros e assassinos corrompidos. Você deixará seu passado para trás a fim de começar uma nova vida. Pendor não é o seu típico país medieval, homens e mulheres têm chances iguais de sucesso e fracasso. Se tiver êxito, criará outro destino, uma nova possibilidade nas infinitas dimensões da realidade. Suas escolhas podem criar uma nova linha no tecido do destino, oferecendo a possibilidade de que suas ações possam salvar a todos nós.^{reg63?Atraído:Atraída} pelas histórias que ouviu sobre Pendor e seus reinos, você...
mno_town_1|se junta a uma caravana para Sarleon, no Reino de Sarleon.
mno_town_2|se junta a uma caravana para Ravenstern, no Reino de Ravenstern.
mno_town_3|se junta a uma caravana para Torbah, no Principado D'Shar.
mno_town_4|embarca em um navio para Javiksholm, no Fierdsvain.
mno_town_5|embarca em um navio para Janos, no Império Baccus.
mno_pop_cheat|[TESTE] Apenas me deixe jogar!
menu_start_game_3|Escolha seu cenário:
menu_tutorial|Você se aproxima de um campo onde os habitantes locais treinam com armas. Aqui poderá praticar para melhorar suas habilidades de combate.
mno_go_back_dot|Retornar
menu_reports|Renome/Prestígio: {reg5}^ ^Honra: {reg6}^Prestígio gasto: {reg9}^Custo base do prestígio para Tropas de Honra: {reg10}^^Moral do exército: {reg8}^Limite de Tropas: {reg7}^
mno_action_view_troop_trees|Árvore de tropas.
mno_view_character_report|Ver relatório do personagem.
mno_view_party_size_report|Ver relatório do tamanho do exército.
mno_view_morale_report|Ver relatório da moral do exército.
mno_view_weekly_budget_report|Ver relatório sobre o orçamento semanal.
mno_view_center_income_report|Ver relatório de receitas locais.
mno_view_victory_condition_report|Ver o progresso da vitória.
mno_view_achievement_report|Ver conquistas.
mno_view_faction_relations_report|Ver relatório de relação com as facções.
mno_view_npc_mission_report|Ver relatório de missões dos companheiros.
mno_lord_relations|Ver lista de lordes conhecidos segundo relação.
mno_courtship_relations|Ver as relações de cortejo.
mno_action_view_world_map|Mapa de Pendor.
mno_resume_travelling|Retomar viagem.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|A batalha terminou. {s1} Seu lado matou {reg5} inimigos e perdeu {reg6} tropas ao longo da batalha. Pessoalmente, você matou {reg7} homens no combate.
menu_start_game_1|Escolha o gênero do seu personagem.
mno_start_male|Masculino.
mno_start_female|Feminino (Rosto do Warband).
mno_start_female_2|Feminino (Rosto Customizado).
menu_start_character_1|Você nasceu anos atrás e agora reside na Terra de Barclay, muito ao Oeste e ao Sul de Pendor. Seu pai era...
mno_start_noble|um nobre menor.
mno_start_merchant|um capitão de navio mercante.
mno_start_guard|um ex-cavaleiro.
mno_start_forester|um aventureiro aposentado.
mno_start_nomad|um líder de clã nômade errante.
mno_start_thief|uma figura rude e misteriosa.
mno_start_priest|um médico respeitável.
menu_start_character_2|{s10}^^ Você teve muito pouco tempo livre em sua juventude, pois seu pai...
mno_page|providenciou para que você servisse um nobre menor de Barclay.
mno_apprentice|enviou você para que se tornasse {reg3?uma:um} aprendiz na guilda local como {reg3?uma artesã:um artesão}.
mno_stockboy|colocou você sob os cuidados de um mercador de sucesso.
mno_urchin|deixou você à própria sorte.
mno_nomad|enviou você para caçar {reg3?sozinha:sozinho} na natureza.
menu_start_character_3|{s11}^^ Então, depois do que parecia uma eternidade, sua vida mudou. Você teve a oportunidade de se tornar...
mno_squire|um escudeiro.
mno_lady|uma dama de companhia.
mno_troubadour|{reg3?uma trovadora:um bardo}.
mno_student|{reg3?uma médica erudita:um médico erudito}.
mno_peddler|{reg3?uma comerciante independente:um comerciante independente}.
mno_craftsman|{reg3?uma engenheira e construtora:um engenheiro e construtor}.
mno_poacher|{reg3?uma caçadora:um caçador}.
menu_start_character_4|{s12}^^Mas, por força do destino, tudo em seu mundo mudou repentinamente. Você não teve nenhuma escolha além de deixar as terras de Barclay e partir para Pendor, pois...
mno_revenge|você deve corrigir um mal que lhe foi causado.
mno_death|você recebeu a mensagem de que seu pai morreu.
mno_wanderlust|ocorreram uma série de infortúnios.
mno_disown|há muitos inimigos que procuram acabar com sua vida.
mno_greed|você recebeu uma carta que mudou sua vida para sempre.
menu_choose_skill|{s13}
mno_begin_adventuring|Você embarca no navio e se estabelece em...
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_center_income_report|{s1}
mno_list_of_fief_with_pending_quests|Me dê uma lista de feudos com missões de campanha pendentes.
mno_construction|Ver relatório de construção...
menu_center_construction_report|{s1}
menu_victory_progress_report|Relatório do Progresso da Vitória^^{s6}^^Culto da Serpente: {s7}^Jatu: {s8}^Bárbaros das Montanhas da Névoa: {s9}^Hereges: {s10}^^Total de Exércitos Gerados: {reg4}^^Exércitos Remanescentes:^{s13}^^Relação com os Noldor: {s12}^^A Vitória é alcançada:^^- Havendo apenas um Reino restante.^- Se os Noldor tiverem relação Favorável ou melhor com você.^- Quando as tribos das Montanhas da Névoa forem Destruídas ou Obliteradas.^- Quando cada outra facção menor for Destruída ou Obliterada e não houverem exércitos de facções menores ou personalidades heroicas no mapa.
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
mno_orders|Ver a relação com as Ordens de Cavalaria.
menu_order_relations_report|{s1}
menu_camp|Você montou acampamento. O que quer fazer?
mno_camp_action_1|Caminhar ao redor e inspecionar seus soldados.
mno_camp_manage_inventory|Gerenciar o inventário do grupo...
mno_camp_access_companions_inventory|Acessar o inventário dos companheiros...
mno_camp_action|Realizar uma ação...
mno_camp_wait_here|Esperar aqui por um tempo.
mno_camp_options|Opções do POP.
mno_camp_cheat_infoline|-AS TRAPAÇAS ABAIXO SÃO APENAS PARA DESENVOLVEDORES-
mno_camp_cheat|Menu de Trapaças.
mno_test_vader|Menu de Trapaças - Vader.
mno_test_vader2|Menu de Trapaças - Vader Tropas.
mno_testers_cheat|Menu de Trapaças para Testadores.
mno_fix_pop|Consertar meu jogo.
menu_fix_pop_list|Consertar meu jogo.
mno_fix_food|Consertar "0 moral da comida" & "receita negativa do empreendimento" & "OCC sem itens".
mno_camp_autoloot_for_bug|Auto-pilhagem no Acampamento para Corrigir Bug.
mno_reset_old_ruins_var|Resetar ferreiro e cavalariço nas Ruínas Antigas.
mno_purge_the_world|Expurgar o mundo.
menu_purge_the_world_0|Tente reduzir o tamanho de todos os exércitos para o valor máximo selecionado removendo aleatoriamente tropas com nível <35.
mno_purge_the_world_1|1000
mno_purge_the_world_2|2000
mno_purge_the_world_3|3000
mno_purge_the_world_4|4000
mno_purge_the_world_5|5000
mno_purge_the_world_6|7500
mno_purge_the_world_7|10000
mno_purge_the_world_8|1000 sem restrição de nível
menu_testers_cheat|Trapaças para testadores.
mno_camp_cheatleo_get_50_troops|Obter 100 tropas.
mno_camp_cheatleo_give_troops|Dar tropas.
mno_camp_cheatleo_undress_troops|Despir um soldado.
mno_camp_cheatleo_get_lords|Obter Lordes.
mno_cheat_spawn_ashenborn|Me dê as novas unidades Assassino e Ashenborn.
mno_cheat_companion_xp|Dê a minha companhia 1.000.000 experiência.
mno_cheat_change_race_noldor|Faça de mim um elfo.
mno_cheat_change_race_undead|Faça de mim um zumbi.
mno_raise_player_level|Me dê 1.000.000 experiência.
mno_cheat_disable_companion_complaints|Desabilitar a queixa dos companheiros.
mno_cheat_enable_companion_complaints|Habilitar a queixa dos companheiros.
mno_cheat_disable_cheatmode|Desativar o modo de trapaças.
mno_choose_scene|Seletor de Cenário
mno_sarleon_loves_me|Sarleon loves me.
menu_camp_cheat|Selecione uma trapaça:
mno_camp_cheat_find_item|Find an item ...
mno_camp_cheat_change_weather|Change weather ...
menu_camp_vader|O que você quer testar hoje?
mno_camp_vader_pimp|Primeiro, faça uma melhoria em mim!
mno_salt_mine|Ir para Al-Aziz.
mno_camp_vader_ownorder|Testar a Ordem do Jogador...
mno_camp_vader_gmquest_1|Definir a missão do Grão-mestre para teste (parte 1).
mno_camp_vader_gmquest_2|Definir a missão do Grão-mestre para teste (parte 2).
mno_camp_vader_randorder1|Gerar e testar Ordens menores aleatórias.
mno_camp_vader_randorder2|Gerar 7 Ordens menores aleatórias. (PERIGO)
mno_test_noldor_quest|Completar a missão dos Noldor (acessar o castelo).
mno_camp_vader_cheat|Alternar o Modo nativo de trapaças: {s7}
mno_camp_wait|Avançar 200 dias (x50 velocidade).
mno_camp_vader_comp|Testar a conversação dos companheiros...
mno_rebuild_old_ruins|Rebuild Old Ruins for 30000 denars.
mno_spawn_test_bandit_lairs|Spawn Test Bandit Lairs.
mno_camp_vader_back|Voltar ao menu de acampamento.
menu_camp_ownorder|Selecione uma opção:
mno_join|Juntar-se a Sarleon e tomar o controle de Avendor.
