lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2018-2021 - by Evandro Neto
str_no_string|NO STRING!
str_empty_string| 
str_yes|Sim.
str_no|Não.
str_blank_string| 
str_noone|ninguém
str_s50_and_s51|{s50} e {s51}
str_s52_and_s51|{s52} e {s51}
str_s5_s_party|{s5}
str_given_by_s1_at_s2|Atribuído por {s1} em {s2}
str_given_by_s1_in_wilderness|Atribuído por {s1} nos arredores
str_s7_raiders|Assaltantes de {s7}
str_bandits_eliminated_by_another|Os bandidos problemáticos foram eliminados por outro exército.
str_msg_battle_won|Vitória! Pressione Tab para sair...
str_msg_battle_won0|Suas tropas triunfam! Pressione Tab para sair...
str_msg_battle_won1|O inimigo foi derrotado! Pressione Tab para sair...
str_msg_battle_won2|O inimigo foi vencido! Pressione Tab para sair...
str_msg_battle_won3|A batalha foi vencida! Pressione Tab para sair...
str_msg_battle_won4|A sorte sorri para você! O último de seus inimigos cai! Pressione Tab para sair...
str_msg_battle_won5|Todos os seus inimigos caíram! Pressione Tab para sair...
str_msg_battle_won6|Você venceu a batalha! Pressione Tab para sair...
str_msg_battle_won7|Nenhum inimigo remanesce contra você! Pressione Tab para sair...
str_msg_battle_won8|A vitória é sua! Pressione Tab para sair...
str_tutorial_map1|Bem-vindo ao Prophesy of Pendor 3.9.5^Este Mod foi desenvolvido por um Experiente Jogador que dominou os fundamentos do combate e não foi criado para ser fácil. Aos que já estão preparados para essa experiência, esperamos que você desfrute o PoP!^Nenhuma subsequente ou prévia modificação desse trabalho foi autorizada e todos os direitos intelectuais são reservados.^-- Saxondragon e o Time de Desenvolvimento de PoP. Agradecimentos especiais ao pessoal da Gwythdarian (www.gwythdarian.com) que doaram seu tempo e habilidade em prol da sua diversão. (Tradução não oficial e não autorizada pelo Evandro Neto)^^
str_randomize|Aleatório
str_charge|Carga
str_color|Cor
str_flip_horizontal|Virar na Horizontal
str_flip_vertical|Virar na Vertical
str_hold_fire|Cessar-fogo
str_blunt_hold_fire|Contundente/Cessar-fogo
str_tutorial_ammo_refilled|Munição recarregada.
str_tutorial_failed|Desta vez lhe venceram, mas não se preocupe. Siga atentamente as instruções e da próxima vez você fará melhor. Pressione a tecla Tab para retornar ao menu onde você poderá voltar a jogar este tutorial.
str_finished|(Terminado)
str_delivered_damage|Você causou {reg60} pontos de dano.
str_archery_target_hit|Distância: {reg61} jardas. Pontuação: {reg60}
str_use_baggage_for_inventory|Utilize sua bagagem para acessar seu inventário em batalha (ela está em sua posição inicial).
str_cant_use_inventory_now|Impossível acessar o inventário agora.
str_cant_use_inventory_arena|Impossível acessar o inventário na arena.
str_cant_use_inventory_disguised|Impossível acessar o inventário enquanto se utiliza um disfarce.
str_cant_use_inventory_tutorial|Impossível acessar o inventário no campo de treinamento.
str_1_denar|1 denar
str_reg1_denars|{reg1} denares
str_january_reg1_reg2|{reg1} de Janeiro de {reg2}
str_february_reg1_reg2|{reg1} de Fevereiro de {reg2}
str_march_reg1_reg2|{reg1} de Março de {reg2}
str_april_reg1_reg2|{reg1} de Abril de {reg2}
str_may_reg1_reg2|{reg1} de Maio de {reg2}
str_june_reg1_reg2|{reg1} de Junho de {reg2}
str_july_reg1_reg2|{reg1} de Julho de {reg2}
str_august_reg1_reg2|{reg1} de Agosto de {reg2}
str_september_reg1_reg2|{reg1} de Setembro de {reg2}
str_october_reg1_reg2|{reg1} de Outubro de {reg2}
str_november_reg1_reg2|{reg1} de Novembro de {reg2}
str_december_reg1_reg2|{reg1} de Dezembro de {reg2}
str_town_nighttime| É tarde e não há sequer uma pessoa honesta pelas ruas.
str_door_locked|A porta está trancada.
str_castle_is_abondened|O castelo parece estar deserto.
str_town_is_abondened|A cidade não tem uma guarnição que a defenda.
str_place_is_occupied_by_player|Este lugar está sob o mando de suas tropas.
str_place_is_occupied_by_enemy|Este lugar está sob o mando de tropas inimigas.
str_place_is_occupied_by_friendly|Este lugar está sob o mando de tropas aliadas.
str_do_you_want_to_retreat|Tem certeza que pretende iniciar uma retirada?
str_give_up_fight|Retirar-se da batalha?
str_do_you_wish_to_leave_tutorial|Deseja abandonar o tutorial?
str_do_you_wish_to_surrender|Deseja se render?
str_can_not_retreat|Impossível retroceder. Ainda há inimigos por perto!
str_s1_joined_battle_enemy|{s7} uniu-se à batalha, ajudando o lado inimigo.
str_s1_joined_battle_friend|{s7} uniu-se à batalha, ajudando suas tropas.
