lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2018-2021 - by Evandro Neto
ip_reference_buildings|Referência: Construções
ip_reference_buildings_text|Oficina de Ferreiro^Pode construir em: Todos. Custo base: 5000.^Habilidades do administrador: Tática 2, Barganha 3.^Uma oficina de ferreiro aumenta a receita em 5 e a prosperidade em 5%.^^Inspetores de Construção^Pode construir em: Cidade. Custo base: 7000.^Habilidades do administrador: Tática 2, Detecção 2.^Os inspetores de construção aumentam a receita base em 2, a prosperidade em 3% e as relações em 1.^^Catedral^Pode construir em: Cidade. Custo base: 20000.^Habilidades do administrador: Engenharia 5, Liderança 5, Persuasão 6.^Uma catedral aumenta a receita em 20, a prosperidade em 20% e as relações em 10.^^Capela^Pode construir em: Castelo, Cidade. Custo base: 1000.^Habilidades do administrador: Persuasão 3, Liderança 3.^Uma capela aumenta a receita em 5.^^Igreja^Pode construir em: Todos. Custo base: 7000.^Habilidades do administrador: Persuasão 5, Engenharia 3, Liderança 5.^A Igreja aumenta a receita em 5, a prosperidade em 10% e as relações em 5. Também atrairá nobres piedosos para a sua causa.^^Patrulhas Cívicas^Pode construir em: Cidade. Custo base: 800.^Habilidades do administrador: Detecção 2, Rastreamento 2, Tática 1.^As patrulhas cívicas aumentam a receita base em 1%, prosperidade em 2% e relações em 5.^^Sistema Judicial^Pode construir em: Cidade. Custo base: 8000.^Habilidades do administrador: Gestão de Prisioneiros 2, Tática 4, Persuasão 5.^O sistema judicial aumenta a receita em 5, a prosperidade em 10% e as relações em 5.^^Rotação de Culturas^Pode construir em: Aldeias. Custo base: 5000.^Habilidades do administrador: Administração do Inventário 4, Tática 3.^A rotação de culturas aumenta a receita em 20 e a prosperidade em 5%.^^Brigada de Incêndio^Pode construir em: Todos. Custo base: 3000.^Habilidades do administrador: Exploração 2, Detecção 2.^A brigada de incêndio aumenta a prosperidade em 5% e as relações em 3.^^Tanque de Peixes^Pode construir em: Aldeia. Custo base: 6000.^Habilidades do administrador: Engenharia 1, Detecção 2.^Um tanque de peixes aumenta a receita base em 10 e a prosperidade da aldeia em 10%.^^Silvicultores^Pode construir em: Aldeia. Custo base: 3000.^Habilidades do administrador: Rastreamento 4, Exploração 3.^Silvicultores organizam a coleta de recursos e madeira que aumentam a receita em 5 e a prosperidade por 5%.^^Herbanário^Pode construir em: Aldeia. Custo base: 5000.^Habilidades do administrador: Primeiros Socorros 3, Tratamento de Feridas 3.^Um herbanário ajuda a saúde de sua comunidade, aumentando a prosperidade em 10% e as relações em 5.^^Hospital^Pode construir em: Cidade. Custo base: 10000.^Habilidades do administrador: Tática 3, Cirurgia 5, Persuasão 3.^Um hospital aumenta a receita em 5, a prosperidade em 10% e as relações em 5.^^Cabana de Caça^Pode construir em: Aldeia. Custo base: 3000.^Habilidades do administrador: Rastreamento 3, Exploração 3.^Uma cabana de caça envia grupos de caça que aumentam a receita em 5 e a prosperidade em 10%.^^Estradas Pavimentadas^Pode construir em: Todos. Custo base: 10000.^Habilidades do administrador: Engenharia 3, Exploração 4.^Estradas pavimentadas aumentam a receita base em 5, a prosperidade em 20% e as relações em 2.^^Acendedores de Lampião^Pode construir em: Cidade. Custo base: 1000.^Habilidades do administrador: Exploração 2.^Os acendedores de lampião aumentam a prosperidade em 2% e as relações em 2.^^Casa de Campo^Pode construir em: Aldeia. Custo base: 8000.^Habilidades do administrador: Engenharia 2.^Uma casa de campo lhe permite descansar na aldeia, aumenta a receita base em 10 e a prosperidade em 10%.^^Mercado^Pode construir em: Aldeia, Castelo. Custo base: 10000.^Habilidades do administrador: Persuasão 2, Barganha 5, Pilhagem 2.^O mercado aumenta a receita base em 50 e a prosperidade em 50%.^^Posto de Mensagens^Pode construir em: Todos. Custo base: 4000.^Habilidades do administrador: Engenharia 2, Exploração 2.^Um posto de mensagens permite que os habitantes lhe enviem uma mensagem sempre que inimigos estiverem próximos, mesmo que você esteja longe. Também melhora as relações em 5.^^Mina^Pode construir em: Todos. Custo base: 3000.^Habilidades do administrador: Engenharia 4, Tática 3, Barganha 4.^Uma mina cria receita direta com base no valor dos minérios encontrados durante a prospecção e aumenta a prosperidade em 5%.^^Monastério^Pode construir em: Todos. Custo base: 5000.^Habilidades do administrador: Persuasão 4, Instrução 4.^Um monastério aumenta a receita em 5, a prosperidade em 5% e as relações em 5.^^Guildas Organizadas^Pode construir em: Cidade. Custo base: 15000.^Habilidades do administrador: Barganha 5, Tática 5, Persuasão 5.^As guildas organizadas aumentam a receita base em 50 e a prosperidade em 25%.^^Torre de Prisioneiros^Pode construir em: Castelo, Cidade. Custo base: 7000.^Habilidades do administrador: Engenharia 2, Gestão de Prisioneiros 2.^Uma torre de prisioneiros reduz a chance dos prisioneiros escaparem.^^Prospecção (especial)^Pode construir em: Todos. Custo base: 1000.^Habilidades do administrador: Engenharia 1, Detecção 1.^Contrata e envia um grupo de garimpeiros para encontrar minérios e pedras preciosas nas redondezas.^^Ornamentações^Pode construir em: Aldeia. Custo base: 7000.^Habilidades do administrador: Administração do Inventário 2.^As ornamentações aumentam a receita em 4 e a prosperidade em 4%.^^Medidas de saneamento^Pode construir em: Todos. Custo base: 3000.^Habilidades do administrador: Tática 3, Engenharia 2, Detecção 2.^As Medidas de saneamento aumentam a receita base em 2, a prosperidade em 2% e as relações em 5.^^Escola^Pode construir em: Aldeia. Custo base: 9000.^Habilidades do administrador: Instrução 2.^Uma escola aumenta a lealdade dos aldeões a você em +1 toda semana.^^Escritório do Xerife^Pode construir em: Aldeia. Custo base: 5000.^Habilidades do administrador: Instrução 3, Rastreamento 2, Tática 3.^Este guardião da ordem e da lei melhora a prosperidade em 10%, as relações em 5, influencia a geração de bandidos na área e envia patrulhas de milícia.^^Santuário^Pode construir em: Todos. Custo base: 3000.^Habilidades do administrador: Persuasão 3, Tratamento de feridas 3.^Um santuário aumenta a prosperidade em 5% e as relações em 5. Ele também atrairá nobres devotos para sua causa.^^Artesãos Qualificados^Pode construir em: Todos. Custo base: 6000.^Habilidades do administrador: Persuasão 2, Tática 3, Barbanha 4.^Artesãos qualificados aumentam a prosperidade da aldeia em 20% e a receita base em 100. Eles também fazem reparos semanais independentes de construções.^^Varredores de Rua^Pode construir em: Cidade. Custo base: 2.000.^Habilidades do administrador: Rastreamento 2.^Os varredores de rua aumentam a prosperidade em 3% e as relações em 3.^^Escritório do coletor de Impostos^Pode construir em: Todos. Custo base: 2.000.^Habilidades do administrador: Pilhagem 3.^O escritório do coletor de impostos aumenta a receita base em 10, reduz a prosperidade em 10% e diminui as relações em 2.^^Guilda dos ladrões^Pode construir em: Cidade. Custo base: 10000.^Habilidades do administrador: Pilhagem 5, Tática 5, Persuasão 2.^Uma guilda dos ladrões traz a Irmandade Vermelha para sua cidade, aumentando a receita base em 20 e a prosperidade em 15%. Também reduz as relações da cidade em 10.^^Pregoeiro da Cidade^Pode construir em: Cidade. Custo base: 500.^Habilidades do administrador: Detecção 2.^O pregoeiro da cidade aumenta a receita base em 1, a prosperidade em 2% e as relações em 1.^^Campos de treinamento^Pode construir em: Castelo, Cidade. Custo base: 8000.^Habilidades de comissário: Instrução 4, Maestria em Armas 5.^Os campos de treinamento aumentam a receita base em 3, permite o treinamento adicional de tropas de guarnição e contratação de recrutas nobres.^^Universidade^Pode construir em: Cidade. Custo base: 10000.^Habilidades do administrador: Engenharia 4, Instrução 5, Persuasão 4.^Uma universidade aumenta a receita em 10, a prosperidade em 10% e as relações em 5.^^Armazém^Pode construir em: Cidade. Custo base: 3000.^Habilidades do administrador: Administração do Inventário 4, Barbanha 2.^Um armazém aumenta a renda em 5 e a prosperidade em 5%.^^Torre de Vigia^Pode construir em: Aldeia. Custo base: 5000.^Habilidades do administrador: Engenharia 1, Detecção 2.^Uma torre de vigia permite que os aldeões dêem o alarme mais cedo. O tempo que os inimigos levam para saquear a Aldeia aumenta em 25%. Também melhora as relações em 5.^^Limpadores de Poço^Pode construir em: Cidade. Custo base: 2500.^Habilidades do administrador: Detecção 2.^Os limpadores de poço aumentam a renda em 2, a prosperidade em 2% e as relações em 2.^^Vinícola^Pode construir em: Aldeia, Castelo. Custo base: 8000.^Habilidades do administrador: Persuasão 3, Primeiros Socorros 2, Tática 4.^Uma vinícola aumenta a receita base em 50, a prosperidade em 10% e as relações em 3.^^
ip_reference_orders|Referência: Ordens de Cavalaria
ip_reference_orders_text|Ordem do Dragão^Condição para criação: Jogador adotar a Cultura Ravenstern ou em Rane, Honra 15, 25000 denares^Localização da Sala do Capítulo: Rane^Possível Sala do Capítulo: Ravenstern^Treinar Cavaleiros do Dragão a partir dos Cavaleiros de Ravenstern.^^Ordem do Leão^Condições para criação: Jogador adotar a Cultura Sarleon ou em Sarleon, Honra 10, 30 denares^Localização da Sala do Capítulo: Sarleon^Possível Sala do Capítulo: Marleons^Treinar Cavaleiros do Leão a partir dos Cavaleiros de Sarleon.^^Conselho dos Imortais^Condições para criação: Jogador adotar a Cultura Imperial ou em Janos, Honra 10, 25000 denares^Localização da Sala do Capítulo: Janos^Possível Sala do Capítulo: Ethos^Treinar Imortais do Império a partir dos Cavaleiros do Império.^^Conselho dos Cavaleiros do Vento^Condições para criação: Jogador adotar a Cultura D'Shar ou em Torbah, Honra 10, 25000 denares^Localização da Sala do Capítulo: Torbah^Possível Sala do Capítulo: Nal Tar^Treinar Cavaleiros do Vento D'Shar a partir dos Cavaleiros Nobres D'Shar.^^Irmandade das Valquírias^Condições para criação: Jogador adotar a Cultura Fierdsvain ou em Javiksholm, Honra 10, 30000 denares^Localização da Sala do Capítulo: Javiksholm^Treinar Damas Valquírias a partir das Hersirs do Fierdsvain.^^Ordem do Grifo^Condições para criação: Sir Darlion de Pendor no grupo ou seu personagem ter recebido a carta do pai ou uma Gema Qualis se o jogador abraçar a Cultura da Antiga Pendor, Honra 20, 25000 denares^Treinar Cavaleiros do Grifo a partir dos Cavaleiros de Pendor.^^Ordem do Falcão^Condições para criação: Madame Úrsula ou Sir Rayne no grupo, Honra 15, 25000 denares^Possível Sala do Capítulo: Castelo Falcão Sombrio^Treinar Cavaleiros do Falcão a partir das Aventureiras.^^Ordem da Lança Corvinal^Condição para criação: Jogador ser o dono de Poinsbruk, Honra 05, 25000 denares^Localização da Sala do Capítulo: Poinsbruk^Possível Sala do Capítulo: Avendor^Treinar Cavaleiros da Lança Corvinal a partir dos Cavaleiros de Ravenstern.^^Ordem da Cruz Radiante^Condição para criação: Jogador ser o dono de Ethos, Honra 20, 25000 denares^Treinar Cavaleiros da Cruz Radiante a partir dos Cavaleiros de Pendor.^^Ordem do Chamado de Clarion^Condições para criação: Jogador adotar a Cultura Sarleon ou ser o dono de Laria, Honra 10, 25000 denares^Localização da Sala do Capítulo: Laria^Treinar Patrulheiros do Chamado de Clarion a partir dos Cavaleiros de Sarleon.^^Ordem da Aurora^Condição para criação: Jogador ser o dono de Valonbray, Honra 20, 25000 denares^Localização da Sala do Capítulo: Valonbray^Treinar Cavaleiros da Aurora a partir dos Cavaleiros de Pendor.^^Ordem da Manopla de Ébano^Condição para criação: Uma Gema Qualis, Honra 05, 20000 denares^Possível Sala do Capítulo: Avendor^Treinar Cavaleiros da Manopla de Ébano a partir dos Cavaleiros a Pé de Pendor.^^Ordem dos Legionários das Sombras^Condição para criação: Uma Gema Qualis, Honra 10, 20000 denares^Localização da Sala do Capítulo: Cez^Treinar Centuriões dos Legionários das Sombras a partir dos Cavaleiros do Império.^^Ordem dos Patrulheiros da Bruma de Prata^Condição para criação: Uma Gema Qualis, Honra 20, 20000 denares^Possível Sala do Capítulo: Senderfall^Treinar Patrulheiros da Bruma de Prata a partir dos Arqueiros Negros de Pendor.^^Ordem do Entardecer^Condição para criação: Sir Alistair no grupo, Honra -20 ou menos, 30000 denares^Localização da Sala do Capítulo: Singal^Treinar Cavaleiros do Entardecer a partir dos Cavaleiros de Pendor.^^Ordem da Fênix^Condição para criação: Uma Gema Qualis, Honra 15, 20000 denares^Localização da Sala do Capítulo: Castelo Calendain ou Castelo Maras ou Castelo Almerra^^Treinar Cavaleiros da Fênix a partir dos Cavaleiros do Império.^^Ordem dos Lobos das Sombras^Condição para criação: Uma Gema Qualis, Honra 10, 20000 denares^Localização da Sala do Capítulo: Castelo Walven ou Castelo Savador ou Castelo Oregar^Treinar Lobos das Sombras a partir dos Cavaleiros do Império.^^Ordem dos Escorpiões Assassinos^Condição para criação: Uma Gema Qualis, Honra 05, 20 denares^Localização da Sala do Capítulo: Ishkoman^Treinar Escorpiões Assassinos a partir da Cavalaria Nobre de D'Shar.^^Ordem dos Cultistas do Kraken^Condição para criação: Uma Gema Qualis, Honra 15, 20000 denares^Localização da Sala do Capítulo: Windholm^Treinar Kraken Riddarar a partir das Hersirs do Fierdsvain.^^Sua Ordem de Cavalaria Única^Condição para criação: Uma Gema Qualis, Honra 30, 20000 denares^Treinar Cavaleiros da Ordem a partir dos Cavaleiros da sua cultura.^^
ip_morale|Warband: Moral
ip_morale_text|A moral representa a capacidade e disposição das tropas em um exército para reunir a resistência, o valor e a disciplina necessária para enfrentar o frenesi dos combates e das longas marchas. Não é o mesmo que a felicidade das tropas. Tropas de elite podem queixar-se e lamentar-se das dificuldades da campanha, mas logo permanecerão firmemente unidas quando as flechas começarem a voar. Por outro lado, um comandante que dá a seus homens tudo o que lhe pedem pode vir a criar uma tropa muito acomodada, que abandonará a luta ante o avanço inimigo.^^O maior impacto da moral é sobre o comportamento do exército em plena batalha. Ela determina a agressividade das tropas ao enfrentar o inimigo, assim como a probabilidade de que seu espírito venha abaixo e todos fujam apavorados enquanto têm a sensação de que o futuro da batalha está se decidindo contra eles. A moral também afeta a velocidade de um exército em marcha, dado que tropas menos motivadas se moverão mais lentamente, já que os homens não se sentirão motivados a avançar com todas as suas forças e irão querer descansar mais frequentemente, esperando os retardatários. Por fim, um exército com a moral muito baixa começará a sofrer deserções.^^Alguns fatores que afetam a moral são claramente intuitivos. Por exemplo, um comandante carismático com uma reputação vitoriosa pode infundir em seus homens um sentimento de confiança. Os líderes que proporcionam a seus homens um amplo e variado suprimento de alimentos e provisões, e pagam as soldadas a tempo, demonstram que se preocupam com o bem-estar de suas tropas, e é menos provável que as leve ao desastre.^^Há também outros fatores menos intuitivos, em particular os relativos ao sentido de coesão do exército. Em um pequeno grupo muito unido, por exemplo, os homens frequentemente se mostrarão resistentes contra todos os prognósticos desalentadores que enfrentarem, para evitar demonstrar covardia diante dos seus companheiros de armas. Um grande exército, no entanto, pode ter uma fraca coesão, já que o comandante tem menos tempo para supervisionar diretamente a seus homens, ouvir suas queixas, e resolver suas controvérsias. As frequentes batalhas fortalecerão os laços entre os homens, enquanto que os longos períodos de tempo ocioso farão com que as tropas se aborreçam e relaxem muito.^^O relatório da moral, acessível ao clicar no botão "relatórios", permite ao jogador observar como os diferentes fatores afetam a sua moral e a de seus homens.^^
ip_economy|Warband: Economia
ip_economy_text|As cidades e aldeias em Pendor necessitam de uma ampla variedade de bens para que sua população permaneça saudável e produtiva. O primeiro lugar em importância é a comida. O grão é o cultivo básico em toda Pendor, mas as pessoas também precisam de gorduras e proteínas na forma de carne, pescado ou queijo. Conservar a carne exige quase tanto trabalho quanto produzi-la, por isso que há também grande demanda de sal. Depois da comida vem a roupa: lã grossa, tecido leve, ou veludo de luxo. Por último, as pessoas precisam das ferramentas de seu ofício: artigos de ferramentaria, cerâmica, marroquinaria, e, é claro, armaduras, armas e cavalos para a guerra.^^A maioria dos produtos agrícolas são produzidos nas aldeias, enquanto que os artesãos nas cidades emergentes se especializam na fabricação de produtos artesanais, tais como tecidos ou artigos de ferramentaria. Além disso, os diferentes recursos podem ser encontrados em diferentes partes do país. Consequentemente, a chave para a prosperidade em Pendor é o comércio, tanto entre as aldeias e as cidades como entre as cidades mais importantes.^^Quando o comércio flui, os bens estarão disponíveis e acessíveis, a população de uma localidade será saudável e vigorosa, e as pessoas imigrarão das regiões próximas. Uma população que produz mais, consome mais, e poderá contribuir com mais impostos aos seus senhores. Quando o comércio fica estagnado, no entanto, as cidades e aldeias irão ver seus trabalhadores buscar trabalho em outros lugares, e a atividade econômica ficará estagnada. Portanto, deve ser de interesse dos governantes proteger as rotas comerciais dos perigos da guerra e da bandidagem. Um mercador inteligente, no entanto, pode desejar buscar cidades que tenham ficado isoladas do resto do território, para tentar converter o desequilíbrio de preços em uma ganância clara.^^Pelo fato dos aldeões geralmente adquirirem seus produtos no mercado das cidades, os mercados locais florescem de forma tranquila, e os aldeões tendem a comprar barato e vender caro. Mercadores sérios se estabelecem nas cidades para obter os melhores benefícios, ainda que em certas ocasiões possam decidir fazer rápidas paradas em alguma aldeia para comprar suprimentos.^^Um jogador que queira saber mais sobre os fatores que afetam a prosperidade de uma região pode falar com o mestre da guilda da cidade local. Outras informações podem ser obtidas com os transeuntes, ainda que não saibam muito fora de seu próprio comércio particular.^^
ip_courtship|Warband: Cortejo
ip_courtship_text|Os jogadores podem desejar contrair matrimônio com uma das nobres famílias Pendorianas. O casamento não é necessário para que um jogador consiga aumentar seu poder e status social, mas sim para dar aos jogadores a oportunidade de melhorar sua relação com os lordes e estabelecer direitos ao trono.^^Os requisitos do matrimônio são distintos para homens e mulheres. Um personagem masculino geralmente terá que seguir o caminho tradicional de cortejo às damas. Ele deve se estabelecer com uma reputação adequada entre a sociedade aristocrática de Pendor, obter boas relações com os pais ou tutores de sua noiva, e depois conquistar a donzela de acordo com o costume local. Se um jogador fica impaciente, ele pode tentar tomar um atalho... mas haverão consequências em suas relações com outros lordes.^^Um personagem masculino deve estar ciente de que outros lordes estarão competindo contra ele pelo amor das damas do reino. Além disso, os gostos de uma dama são imprevisíveis, e um jogador também pode descobrir que o objeto de seu amor não o ama reciprocamente. Os romances, tanto em Pendor como em outros lugares, nem sempre chegam a prosperar. Claro, um jogador pode recorrer a outros meios menos cavalheirescos para ganhar o coração de uma dama, mas novamente, isso irá causar um impacto negativo em sua reputação.^^Para iniciar no caminho do cortejo, um jogador masculino deverá tentar se envolver na vida social da aristocracia Pendoriana, frequentando a festas e torneios. Além disso, trovadores e poetas errantes podem servir como um bom dispensário de informações úteis sobre o noivado, o que manterá o jogador atualizado sobre os últimos rumores.^^Os personagens femininos também podem se casar... mas deverão ter em mente que a sociedade Pendoriana é muito tradicional, e, como aventureiras, elas escolheram um caminho pouco convencional para uma mulher. Em todo o caso, um personagem feminino terá que investir um tempo até encontrar um lorde que tenha a mente suficientemente aberta para se casar com ela.^^Sob uma ótica positiva, um personagem feminino não precisa passar pelos elaborados rituais do cortejo, e também pode ganhar mais de um matrimônio que sua contraparte masculina. Para uma mulher aventureira, o casamento pode ser uma rota rápida para o poder, e uma personagem sem escrúpulos pode ser capaz de usar seu marido como uma ferramenta de suas ambições políticas.^^
