lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2018-2021 - by Evandro Neto
itm_no_item|ITEM INVÁLIDO
itm_no_item_pl|ITEM INVÁLIDO
itm_tutorial_spear|Lança
itm_tutorial_spear_pl|Lança
itm_tutorial_club|Clava
itm_tutorial_club_pl|Clava
itm_tutorial_battle_axe|Machado de Batalha
itm_tutorial_battle_axe_pl|Machado de Batalha
itm_tutorial_arrows|Flechas
itm_tutorial_arrows_pl|Flechas
itm_tutorial_bolts|Dardos
itm_tutorial_bolts_pl|Dardos
itm_tutorial_short_bow|Arco Curto
itm_tutorial_short_bow_pl|Arco Curto
itm_tutorial_crossbow|Besta
itm_tutorial_crossbow_pl|Besta
itm_tutorial_throwing_daggers|Adagas de Arremesso
itm_tutorial_throwing_daggers_pl|Adagas de Arremesso
itm_tutorial_saddle_horse|Cavalo Selado
itm_tutorial_saddle_horse_pl|Cavalo Selado
itm_tutorial_shield|Escudo Lágrima
itm_tutorial_shield_pl|Escudo Lágrima
itm_tutorial_staff_no_attack|Bastão
itm_tutorial_staff_no_attack_pl|Bastão
itm_tutorial_staff|Bastão
itm_tutorial_staff_pl|Bastão
itm_tutorial_sword|Espada
itm_tutorial_sword_pl|Espada
itm_tutorial_axe|Machado
itm_tutorial_axe_pl|Machado
itm_tutorial_dagger|Adaga
itm_tutorial_dagger_pl|Adaga
itm_horse_meat|Carne de Cavalo
itm_horse_meat_pl|Carne de Cavalo
itm_practice_sword|Espada de Treinamento
itm_practice_sword_pl|Espada de Treinamento
itm_heavy_practice_sword|Espada Pesada de Treinamento
itm_heavy_practice_sword_pl|Espada Pesada de Treinamento
itm_practice_dagger|Adaga de Treinamento
itm_practice_dagger_pl|Adaga de Treinamento
itm_practice_axe|Machado de Treinamento
itm_practice_axe_pl|Machado de Treinamento
itm_arena_axe|Machado
itm_arena_axe_pl|Machado
itm_arena_sword|Espada
itm_arena_sword_pl|Espada
itm_arena_sword_two_handed|Espada Larga
itm_arena_sword_two_handed_pl|Espada Larga
itm_arena_lance|Lança Longa
itm_arena_lance_pl|Lança Longa
itm_practice_staff|Bastão de Treinamento
itm_practice_staff_pl|Bastão de Treinamento
itm_practice_lance|Lança Longa de Treinamento
itm_practice_lance_pl|Lança Longa de Treinamento
itm_practice_shield|Escudo de Treinamento
itm_practice_shield_pl|Escudo de Treinamento
itm_practice_bow|Arco de Treinamento
itm_practice_bow_pl|Arco de Treinamento
itm_practice_crossbow|Besta de Treinamento
itm_practice_crossbow_pl|Besta de Treinamento
itm_practice_javelin|Javelin de Treinamento
itm_practice_javelin_pl|Javelins de Treinamento
itm_practice_javelin_melee|Javelin de Treinamento para Corpo a Corpo
itm_practice_javelin_melee_pl|Javelins de Treinamento para Corpo a Corpo
itm_practice_throwing_daggers|Adagas de Arremesso
itm_practice_throwing_daggers_pl|Adagas de Arremesso
itm_practice_throwing_daggers_100_amount|Adagas de Arremesso
itm_practice_throwing_daggers_100_amount_pl|Adagas de Arremesso
itm_practice_horse|Cavalo de Treinamento
itm_practice_horse_pl|Cavalo de Treinamento
itm_practice_arrows|Flechas de Treinamento
itm_practice_arrows_pl|Flechas de Treinamento
itm_practice_bolts|Dardos de Treinamento
itm_practice_bolts_pl|Dardos de Treinamento
itm_practice_arrows_10_amount|Flechas de Treinamento
itm_practice_arrows_10_amount_pl|Flechas de Treinamento
itm_practice_arrows_100_amount|Flechas de Treinamento
itm_practice_arrows_100_amount_pl|Flechas de Treinamento
itm_practice_bolts_9_amount|Dardos de Treinamento
itm_practice_bolts_9_amount_pl|Dardos de Treinamento
itm_practice_boots|Botas de Treinamento
itm_practice_boots_pl|Botas de Treinamento
itm_red_tourney_armor|Armadura Vermelha de Torneios
itm_red_tourney_armor_pl|Armadura Vermelha de Torneios
itm_blue_tourney_armor|Armadura Azul de Torneios
itm_blue_tourney_armor_pl|Armadura Azul de Torneios
itm_green_tourney_armor|Armadura Verde de Torneios
itm_green_tourney_armor_pl|Armadura Verde de Torneios
itm_gold_tourney_armor|Armadura Dourada de Torneios
itm_gold_tourney_armor_pl|Armadura Dourada de Torneios
itm_red_tourney_helmet|Elmo Vermelho de Torneios
itm_red_tourney_helmet_pl|Elmo Vermelho de Torneios
itm_blue_tourney_helmet|Elmo Azul de Torneios
itm_blue_tourney_helmet_pl|Elmo Azul de Torneios
itm_green_tourney_helmet|Elmo Verde de Torneios
itm_green_tourney_helmet_pl|Elmo Verde de Torneios
itm_gold_tourney_helmet|Elmo Dourado de Torneios
itm_gold_tourney_helmet_pl|Elmo Dourado de Torneios
itm_arena_shield_red|Escudo
itm_arena_shield_red_pl|Escudo
itm_arena_shield_blue|Escudo
itm_arena_shield_blue_pl|Escudo
itm_arena_shield_green|Escudo
itm_arena_shield_green_pl|Escudo
itm_arena_shield_yellow|Escudo
itm_arena_shield_yellow_pl|Escudo
itm_arena_armor_white|Armadura Branca da Arena
itm_arena_armor_white_pl|Armadura Branca da Arena
itm_arena_armor_red|Armadura Vermelha da Arena
itm_arena_armor_red_pl|Armadura Vermelha da Arena
itm_arena_armor_blue|Armadura Azul da Arena
itm_arena_armor_blue_pl|Armadura Azul da Arena
itm_arena_armor_green|Armadura Verde da Arena
itm_arena_armor_green_pl|Armadura Verde da Arena
itm_arena_armor_yellow|Armadura Amarela da Arena
itm_arena_armor_yellow_pl|Armadura Amarela da Arena
itm_arena_tunic_white|Túnica Branca da Arena
itm_arena_tunic_white_pl|Túnica Branca da Arena
itm_arena_tunic_red|Túnica Vermelha da Arena
itm_arena_tunic_red_pl|Túnica Vermelha da Arena
itm_arena_tunic_blue|Túnica Azul da Arena
itm_arena_tunic_blue_pl|Túnica Azul da Arena
itm_arena_tunic_green|Túnica Verde da Arena
itm_arena_tunic_green_pl|Túnica Verde da Arena
itm_arena_tunic_yellow|Túnica Amarela da Arena
itm_arena_tunic_yellow_pl|Túnica Amarela da Arena
itm_arena_helmet_red|Elmo Vermelho da Arena
itm_arena_helmet_red_pl|Elmo Vermelho da Arena
itm_arena_helmet_blue|Elmo Azul da Arena
itm_arena_helmet_blue_pl|Elmo Azul da Arena
itm_arena_helmet_green|Elmo Verde da Arena
itm_arena_helmet_green_pl|Elmo Verde da Arena
itm_arena_helmet_yellow|Elmo Amarelo da Arena
itm_arena_helmet_yellow_pl|Elmo Amarelo da Arena
itm_steppe_helmet_white|Elmo Branco da Estepe
itm_steppe_helmet_white_pl|Elmo Branco da Estepe
itm_steppe_helmet_red|Elmo Vermelho da Estepe
itm_steppe_helmet_red_pl|Elmo Vermelho da Estepe
itm_steppe_helmet_blue|Elmo Azul da Estepe
itm_steppe_helmet_blue_pl|Elmo Azul da Estepe
itm_steppe_helmet_green|Elmo Verde da Estepe
itm_steppe_helmet_green_pl|Elmo Verde da Estepe
itm_steppe_helmet_yellow|Elmo Amarelo da Estepe
itm_steppe_helmet_yellow_pl|Elmo Amarelo da Estepe
itm_tourney_helm_white|Elmo Branco de Torneios
itm_tourney_helm_white_pl|Elmo Branco de Torneios
itm_tourney_helm_red|Elmo Vermelho de Torneios
itm_tourney_helm_red_pl|Elmo Vermelho de Torneios
itm_tourney_helm_blue|Elmo Azul de Torneios
itm_tourney_helm_blue_pl|Elmo Azul de Torneios
itm_tourney_helm_green|Elmo Verde de Torneios
itm_tourney_helm_green_pl|Elmo Verde de Torneios
itm_tourney_helm_yellow|Elmo Amarelo de Torneios
itm_tourney_helm_yellow_pl|Elmo Amarelo de Torneios
itm_book_tactics|Memórias de um Comandante Pendoriano
itm_book_tactics_pl|Memórias de um Comandante Pendoriano
itm_book_persuasion|Retórica Aplicada - Vol. 1
itm_book_persuasion_pl|Retórica Aplicada - Vol. 1
itm_book_leadership|Os Grandes Líderes de Pendor
itm_book_leadership_pl|Os Grandes Líderes de Pendor
itm_book_intelligence|As Altas Artes - Vol. MV
itm_book_intelligence_pl|As Altas Artes - Vol. MV
itm_book_trade|A Vida da Raposa Prateada
itm_book_trade_pl|A Vida da Raposa de Prateada
itm_book_weapon_mastery|O Grande Manual de Combate com Fotos
itm_book_weapon_mastery_pl|O Grande Manual de Combate com Fotos
itm_book_engineering|Engenharia Avançada: Codex Dak Drommen
itm_book_engineering_pl|Engenharia Avançada: Codex Dak Drommen
itm_book_wound_treatment_reference|O Manual Completo de Remédios Herbais de Pendor
itm_book_wound_treatment_reference_pl|O Manual Completo de Remédios Herbais de Pendor
itm_book_training_reference|A Vida do Legionário: Memórias de um Centurião
itm_book_training_reference_pl|A Vida do Legionário: Memórias de um Centurião
itm_book_surgery_reference|O Manual de Bolso do Cirurgião de Campo
itm_book_surgery_reference_pl|O Manual de Bolso do Cirurgião de Campo
itm_spice|Tempero
itm_spice_pl|Temperos
itm_salt|Sal
itm_salt_pl|Sais
itm_oil|Óleo
itm_oil_pl|Óleos
itm_pottery|Cerâmica
itm_pottery_pl|Cerâmicas
itm_raw_flax|Pacote de Linho
itm_raw_flax_pl|Pacotes de Linho
itm_linen|Linho
itm_linen_pl|Linhos
itm_wool|Lã
itm_wool_pl|Lãs
itm_wool_cloth|Tecido de Lã
itm_wool_cloth_pl|Tecidos de Lã
itm_raw_silk|Seda Bruta
itm_raw_silk_pl|Sedas Brutas
itm_raw_dyes|Corantes
itm_raw_dyes_pl|Corantes
itm_velvet|Veludo
itm_velvet_pl|Veludos
itm_iron|Ferro
itm_iron_pl|Ferros
itm_tools|Ferramentas
itm_tools_pl|Ferramentas
itm_raw_leather|Peles Curtidas
itm_raw_leather_pl|Peles Curtidas
itm_leatherwork|Couraria
itm_leatherwork_pl|Couraria
itm_raw_date_fruit|Tâmara
itm_raw_date_fruit_pl|Tâmaras
itm_furs|Peles
itm_furs_pl|Peles
itm_wine|Vinho
itm_wine_pl|Vinhos
itm_ale|Cerveja
itm_ale_pl|Cervejas
itm_smoked_fish|Peixe Defumado
itm_smoked_fish_pl|Peixes Defumados
itm_cheese|Queijo
itm_cheese_pl|Queijos
itm_honey|Mel
itm_honey_pl|Meles
itm_sausages|Salsichas
itm_sausages_pl|Salsichas
itm_cabbages|Repolho
itm_cabbages_pl|Repolhos
itm_dried_meat|Carne Seca
itm_dried_meat_pl|Carnes Secas
itm_apples|Frutas
itm_apples_pl|Frutas
itm_raw_grapes|Uvas
itm_raw_grapes_pl|Uvas
itm_raw_olives|Azeitonas
itm_raw_olives_pl|Azeitonas
itm_grain|Trigo
itm_grain_pl|Trigos
itm_cattle_meat|Carne Bovina
itm_cattle_meat_pl|Carnes Bovina
itm_bread|Pão
itm_bread_pl|Pães
itm_chicken|Frango
itm_chicken_pl|Frangos
itm_pork|Carne de Porco
itm_pork_pl|Carnes de Porco
itm_butter|Manteiga
itm_butter_pl|Manteigas
itm_baggage_train|Carroça de Suprimentos
itm_baggage_train_pl|Carroças de Suprimentos
itm_siege_supply|Suprimentos
itm_siege_supply_pl|Suprimentos
itm_quest_wine|Vinho
itm_quest_wine_pl|Vinhos
itm_quest_ale|Cerveja
itm_quest_ale_pl|Cervejas
itm_gold|Barra de Ouro
itm_gold_pl|Barras de Ouro
itm_qualis|Gema Qualis
itm_qualis_pl|Gemas Qualis
itm_noldor_goods|Bens de Comércio Noldor
itm_noldor_goods_pl|Bens de Comércio Noldor
itm_loot|Pilhagem Variada
itm_loot_pl|Pilhagens Variadas
itm_diamond_small|Bolsa de Diamantes Pequena
itm_diamond_small_pl|Bolsas de Diamantes Pequenas
itm_diamond_medium|Bolsa de Diamantes Média
itm_diamond_medium_pl|Bolsas de Diamantes Médias
itm_diamond_large|Bolsa de Diamantes Grande
itm_diamond_large_pl|Bolsas de Diamantes Grandes
itm_book_heretic|Escritos Heréticos
itm_book_heretic_pl|Escritos Heréticos
itm_book_snake|Rituais do Culto da Serpente
itm_book_snake_pl|Rituais do Culto da Serpente
itm_book_noldor_1|Código do Patrulheiro Virtuoso
itm_book_noldor_1_pl|Código do Patrulheiro Virtuoso
itm_book_noldor_2|Notas Roubadas de Luciana de Ethos
itm_book_noldor_2_pl|Notas Roubadas de Luciana de Ethos
itm_book_noldor_3|O Livro Negro de Laria
itm_book_noldor_3_pl|O Livro Negro de Laria
itm_book_noldor_end|Fim dos Livros Noldor
itm_book_noldor_end_pl|Fim dos Livros Noldor
itm_book_old_diary|Livro Frágil
itm_book_old_diary_pl|Livro Frágil
itm_horse_armor|Armadura de Cavalo Antiga
itm_horse_armor_pl|Armadura de Cavalo Antiga
itm_horse_for_armor|Corcel Real de Pendor
itm_horse_for_armor_pl|Corcel Real de Pendor
itm_lyre|Lira
itm_lyre_pl|Lira
itm_lute|Alaúde
itm_lute_pl|Alaúde
itm_dedal_kufel|Kufel
itm_dedal_kufel_pl|Kufel
itm_dedal_lutnia|Lutnia
itm_dedal_lutnia_pl|Lutnia
itm_dedal_lira|Lira
itm_dedal_lira_pl|Lira
itm_rav_helmet_red|Elmo Vermelho de Ravenstern
itm_rav_helmet_red_pl|Elmo Vermelho de Ravenstern
itm_rav_helmet_blue|Elmo Azul de Ravenstern
itm_rav_helmet_blue_pl|Elmo Azul de Ravenstern
itm_rav_helmet_green|Elmo Verde de Ravenstern
itm_rav_helmet_green_pl|Elmo Verde de Ravenstern
itm_rav_helmet_yellow|Elmo Amarelo de Ravenstern
itm_rav_helmet_yellow_pl|Elmo Amarelo de Ravenstern
itm_empire_helmet_red|Elmo Vermelho do Império
itm_empire_helmet_red_pl|Elmo Vermelho do Império
itm_empire_helmet_blue|Elmo Azul do Império
itm_empire_helmet_blue_pl|Elmo Azul do Império
itm_empire_helmet_green|Elmo Verde do Império
itm_empire_helmet_green_pl|Elmo Verde do Império
itm_empire_helmet_yellow|Elmo Amarelo do Império
itm_empire_helmet_yellow_pl|Elmo Amarelo do Império
itm_practice_lance_red|Lança Longa de Torneios
itm_practice_lance_red_pl|Lança Longa de Torneios
itm_practice_lance_blue|Lança Longa de Torneios
itm_practice_lance_blue_pl|Lança Longa de Torneios
itm_practice_lance_green|Lança Longa de Torneios
itm_practice_lance_green_pl|Lança Longa de Torneios
itm_practice_lance_yellow|Lança Longa de Torneios
itm_practice_lance_yellow_pl|Lança Longa de Torneios
itm_sumpter_horse|Cavalo de Carga
itm_sumpter_horse_pl|Cavalo de Carga
itm_saddle_horse|Cavalo Selado
itm_saddle_horse_pl|Cavalo Selado
itm_dshar_saddle_horse|Cavalo Selado D'Shar
itm_dshar_saddle_horse_pl|Cavalo Selado D'Shar
itm_steppe_horse|Cavalo da Estepe
itm_steppe_horse_pl|Cavalo da Estepe
itm_courser|Corcel
itm_courser_pl|Corcel
itm_dark_steppe|Cavalo da Estepe Negro
itm_dark_steppe_pl|Cavalo da Estepe Negro
itm_grey_courser|Corcel Cinza
itm_grey_courser_pl|Corcel Cinza
itm_gold_courser|Corcel de Crina Dourada
itm_gold_courser_pl|Corcel de Crina Dourada
itm_grey_steppe|Cavalo da Estepe Cinza
itm_grey_steppe_pl|Cavalo da Estepe Cinza
itm_melitine_hunter2|Cavalo de Caça de Melitine
itm_melitine_hunter2_pl|Cavalo de Caça de Melitine
itm_hunter|Cavalo de Caça
itm_hunter_pl|Cavalo de Caça
itm_white_hunter|Cavalo de Caça Branco com Enfeites
itm_white_hunter_pl|Cavalo de Caça Branco com Enfeites
itm_red_hunter|Cavalo de Caça Vermelho com Enfeites
itm_red_hunter_pl|Cavalo de Caça Vermelho com Enfeites
itm_green_hunter|Cavalo de Caça Verde com Enfeites
itm_green_hunter_pl|Cavalo de Caça Verde com Enfeites
itm_dshar_courser|Corcel D'Shar
itm_dshar_courser_pl|Corcel D'Shar
