lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2018-2021 - by Evandro Neto
pt_none|nenhum
pt_rescued_prisoners|Prisioneiros Resgatados
pt_enemy|Inimigo
pt_hero_party|Tropas do Herói
pt_village_defenders|Defensores da Aldeia
pt_cattle_herd|Rebanho de Gado
pt_looters|Saqueadores
pt_militia|Patrulha Miliciana
pt_steppe_bandits|Incursores D'Shar
pt_forest_bandits|Bandidos da Floresta
pt_mountain_bandits|Foras-da-Lei das Montanhas
pt_sea_raiders|Incursores de Vanskerry
pt_snake_bandits|Grupo do Culto da Serpente
pt_forest_outcasts|Grupo de Bandidos
pt_sea_raider_army|Exército de Corsários de Vanskerry
pt_omen_seekers|Caçadoras de Presságios
pt_heretics|Círculo de Hereges
pt_heretics_army|Exército de Hereges
pt_snake_cult|Grupo do Culto da Serpente
pt_snake_cult_warband|Guerreiros do Culto da Serpente
pt_snake_cult_army|Exército do Culto da Serpente
pt_azi_death_cult|Saqueadores do Culto da Morte de Azi Dahaka
pt_mystmountain_raiders|Incursores das Montanhas da Névoa
pt_mystmountain_army|Exército das Montanhas da Névoa
pt_jatu_nomads|Grupo de Invasores Jatu
pt_jatu_warband|Guerreiros Jatu
pt_jatu_army|Exército Jatu
pt_red_brotherhood|Irmandade Vermelha
pt_inquisition_patrol|Patrulha da Inquisição
pt_inquisition_warband|Teólogos da Inquisição
pt_inquisition_army|Santo Exército da Inquisição
pt_fadventurers|Companhia de Aventureiras
pt_adventurers|Companhia de Aventureiros
pt_peasant_army|Exército de Camponeses Revoltados
pt_merc_barclay|Conquistadores de Aventura
pt_merc_generic|Companhia de Mercenários
pt_merc_mettenheim|Força Expedicionária de Mettenheim
pt_merc_freikorps_mettenheim|Freikorps de Mettenheim
pt_melitine_medium_spawn|Força Escoteira de Melitine
pt_merc_jatu|Mercenários Jatu
pt_merc_vanskerry|Mercenário de Vanskerry
pt_merc_veccavian|Filhas de Persinoe
pt_merc_singalian|Companhia de Mercenários Singalian
pt_slaver_singalian|Escravagistas Singalian
pt_player_merc_mettenheim|O Freybrueder
pt_player_merc_mettenheim_2|O Freybrueder parte 2
pt_player_merc_veccavian|Os Renegados Veccavianos
pt_player_merc_barclay|Primera Guardia Real
pt_player_merc_melitine|A Expedição de Sarno
pt_player_merc_marleons|1º Porta-estandartes de Marleons
pt_player_merc_unicorns|Cavaleiros de Sir Timothy
pt_player_merc_red_brotherhood|Irmandade de Lothario
pt_player_merc_red_brotherhood_2|Irmandade de Lothario parte 2
pt_player_merc_snowlions|A Brigada do Leão das Neves
pt_player_merc_singalians|Firuz e seus Escravagistas Singalian
pt_player_merc_jatu|Escolhido de Indar
pt_player_merc_generic|A Companhia Livre
pt_player_merc_cheaters|Trapaceiros do Andy
pt_stronghold_patrol|Patrulha da Fortaleza da Ordem
pt_ren_knights|Cavaleiros Renegados
pt_cb5_results|Inimigos em Fuga
pt_noldor_elves|Companhia de Patrulheiros Noldor
pt_errant_knights|Cavaleiros Errantes
pt_dread_legion_patrol|Patrulha da Legião do Medo
pt_eyegrim_patrol|Vanguarda Demoníaca do Eyegrim
pt_wolfbode_patrol|Patrulha do Wolfbode
pt_three_seers_patrol|Patrulha das Três Videntes
pt_inquisitor_rasmus_patrol|Invocadores da Justa Verdade
pt_wolfbode|Wolfbode, o Assassino
pt_dread_legion|Legião do Medo
pt_jatu_k_juda|K'Juda, o Devastador
pt_jatu_zulkar|Senhor da Guerra Zulkar
pt_eyegrim|Eyegrim, o Devorador
pt_brouhaha|Alaric von Brouhaha
pt_burilgi_the_usurper|Burilgi, o Usurpador
pt_oswald|Companhia de Aventureiros do Oswald de Fleur
pt_griffonsword|Companhia de Aventureiros Espada do Grifo
pt_ironsword|Companhia de Aventureiros do Kodan Espada-de-Ferro
pt_shalavan|Companhia de Aventureiros do Sheik Shalavan
pt_boristheraven|Sir Boris, o Corvo
pt_three_seers|As Três Videntes
pt_noldor_lord_1|Lorde Noldor Aeldarian
pt_noldor_lord_2|Lorde Noldor Ithilrandir
pt_syla_uzas|Syla Uzas
pt_mett_obrist|Obrist Heynrich
pt_vecc_verante|A Caçadora de Bruxas Renegada
pt_barclay_rufio|Tercio Villaviciosia
pt_melitine_kaspax|Força Invasora de Melitine
pt_inquisitor|Santo Inquisidor Rasmus Devatica
pt_madame_de_pompadour|Madame de Pompadour
pt_refugees|Refugiados
pt_refugees_guarded|Refugiados Armados
pt_deserters|Desertores
pt_merchant_caravan|Caravana Mercante
pt_troublesome_bandits|Bandidos Problemáticos
pt_bandits_awaiting_ransom|Bandidos Aguardando Resgate
pt_kidnapped_girl|Garota Sequestrada
pt_village_farmers|Agricultores
pt_spy_partners|Viajantes Comuns
pt_runaway_serfs|Servos Fugitivos
pt_spy|Cidadão Comum
pt_sacrificed_messenger|Mensageiro Sacrificado
pt_jatu_quest_army|Exército de Assaltantes Jatu
pt_forager_party|Grupo de Forrageadores
pt_scout_party|Batedores
pt_patrol_party|Patrulha
pt_messenger_party|Mensageiro
pt_raider_party|Incursores
pt_raider_captives|Incursores Cativos
pt_kingdom_caravan_party|Caravana
pt_prisoner_train_party|Comboio de Prisioneiros
pt_default_prisoners|Prisioneiros Comuns
pt_routed_warriors|Inimigos Derrotados
pt_center_reinforcements|Reforços
pt_kingdom_hero_party|Tropas de Guerra
pt_kingdom_4_reinforcements_a|reino 4 reforços a
pt_kingdom_4_reinforcements_b|reino 4 reforços b
pt_kingdom_4_reinforcements_c|reino 4 reforços c
pt_kingdom_5_reinforcements_a|reino 5 reforços a
pt_kingdom_5_reinforcements_b|reino 5 reforços b
pt_kingdom_5_reinforcements_c|reino 5 reforços c
pt_kingdom_6_reinforcements_a|reino 6 reforços a
pt_kingdom_6_reinforcements_b|reino 6 reforços b
pt_kingdom_6_reinforcements_c|reino 6 reforços c
pt_lethaldiran_reinforcements_a|reforços de Lethaldiran a
pt_lethaldiran_reinforcements_b|reforços de Lethaldiran b
pt_lethaldiran_reinforcements_c|reforços de Lethaldiran c
pt_boadice_reinforcements_a|reforços de Boadice a
pt_boadice_reinforcements_b|reforços de Boadice b
pt_boadice_reinforcements_c|reforços de Boadice c
pt_frederick_reinforcements_a|reforços de frederick a
pt_frederick_reinforcements_b|reforços de frederick b
pt_frederick_reinforcements_c|reforços de frederick c
pt_donavan_reinforcements_a|reforços de donavan a
pt_donavan_reinforcements_b|reforços de donavan b
pt_donavan_reinforcements_c|reforços de donavan c
pt_adonja_reinforcements_a|reforços de adonja a
pt_adonja_reinforcements_b|reforços de adonja b
pt_adonja_reinforcements_c|reforços de adonja c
pt_rayne_reinforcements_a|reforços de rayne a
