lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2018-2021 - by Evandro Neto
ui_texture_detail|Detalhe da Textura:
ui_max_frame_rate|FPS máximo:
ui_enable_bumpmap|Utilizar Bump Mapping
ui_disable_blood|Ocultar Sangue
ui_disable_music|Desativar Música
ui_disable_sound|Desativar Som
ui_enable_cheats|Permitir Trapaças
ui_enable_edit_mode|Permitir Modo Editor (Atenção: o desempenho do jogo diminui)
ui_enable_pixel_shaders|Utilizar Pixel Shaders
ui_enable_sound_variation|Permitir Variações Sonoras
ui_enable_vertex_shaders|Método de Renderização:
ui_shadow_quality|Qualidade das Sombras:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Mostrar FPS
ui_start_windowed|Iniciar em Modo Janela
ui_trialmode_caption|Ativar
ui_trialmode|Por favor, ative Mount&Blade Warband introduzindo o número de série. Seu número de série único de 16 dígitos está incluído dentro da caixa do jogo.\nSe não quiser ativar o jogo agora, você pode jogar em versão de teste, ainda que não poderá avançar mais além do nível 8.
ui_launch_buy|Comprar licença na TaleWorlds.com
ui_launch_faq|Perguntas frequentes sobre ativação
ui_trialmode2|Para ativar o jogo agora...
ui_trialmode3|Ou, você também pode...
ui_trialmode4|Se você tem dúvidas sobre o processo de ativação, pode ler...
ui_serial_key_caption|Número de Série
ui_notification_serial_input|Introduza o seu número de série abaixo (você pode copiá-lo e colá-lo) e clique no botão Ativar
ui_activate|Ativar
ui_paste|Colar
ui_notification_serial_internet_connection|A ativação requer conexão com a internet!
ui_notification_serial_offline|Se este computador não tem acesso à Internet, você também pode usar:
ui_manual_activation|Ativação Manual
ui_offline_activation|Ativação Offline
ui_manual_activation_caption|Ativação Manual
ui_offline_activation_caption|Ativação Offline
ui_cancel2|Cancelar
ui_close|Fechar
ui_ok2|OK
ui_activation_successful|O jogo foi ativado com sucesso.
ui_activation_successful2|Por favor, guarde o seu número de série para referência futura. Pode ser que você volte a precisar dele se quiser instalar Mount&Blade Warband em um novo computador.
ui_activation_denied|Ativação Negada!
ui_notification_serial_already_used|Este número de série já está em uso em outro computador. Você terá que esperar algumas semanas antes de reativá-lo neste computador.
ui_notification_unable_to_connect_to_activation_server|Impossível conectar com o servidor de ativação!
ui_notification_unable_to_connect_to_activation_server2|Por favor, confirme que sua conexão à Internet está ativa e funcionando corretamente, e tente novamente. Se você está utilizando um firewall, deverá dar permissão ao jogo para acessar a Internet. Se ele falhar, você ainda pode usar a ativação manual.
ui_incorrect_serial_number|Número de Série incorreto!
ui_incorrect_hardware_hash|Hardware Hash incorreto!
ui_incorrect_activation_code|Código de Ativação incorreto!
ui_cant_write_to_registry|Não foi possível modificar o registro!
ui_video|Vídeo
ui_audio|Áudio
ui_game|Jogo
ui_advanced|Avançado
ui_mount_and_blade_is_ready|Mount&Blade Warband está pronto.
ui_notification_trial_mode|Mount&Blade Warband encontra-se atualmente em versão de teste. Nesta versão você pode jogar livremente até que seu personagem atinja o nível 6. Para continuar, por favor, adquira uma licença na TaleWorlds.com. Comprar uma licença online é muito rápido e com ela poderá desbloquear o resto do jogo.
ui_there_are_no_modules_installed|Não há módulos instalados!
ui_notification_new_version|Foi encontrada uma nova versão de Mount&Blade Warband.\nA versão instalada atualmente é %d.%d%d%d.\nA última versão de Mount&Blade é %d.%d%d%d.\nVocê pode baixar a última versão em www.taleworlds.com.
ui_new_version_found|Atualização Disponível!
ui_notification_unable_to_retreive_new_version|Impossível recuperar a informação da nova versão. Por favor, tente mais tarde.
ui_new_version|Nova versão:
ui_notification_latest_version|A versão instalada de Mount&Blade Warband é a última disponível.
ui_mount_and_blade_is_up_to_date|Mount&Blade Warband já está atualizado!
ui_off|Desativar
ui_continue_playing_the_trial_mode|Continuar jogando em versão de teste
ui_faq_caption|Ajuda
ui_faq_text|P: O que é a ativação?\r\nR: O sistema de ativação é um método amigável de proteção contra cópia que se baseia na distribuição de um número de série único que é anexado a todas as cópias do jogo. É necessário ativar o jogo com este número de série uma vez em cada computador onde queira jogar. Depois de ativá-lo uma vez, você não precisará fazer mais nada para jogar (como por exemplo deixar o disco do jogo no leitor). Enquanto guardar seu número de série, poderá ativar e jogar facilmente mesmo depois de vários anos.\r\n\r\nP: Onde posso encontrar meu número de série?\r\nR: Cada caixa do jogo inclui um número de série único. Diferentes distribuidores podem anexar o código de ativação de diferentes maneiras, mas geralmente, é impresso no manual. Se você comprou seu jogo online, o distribuidor on-line deve lhe enviar o número de série.\r\n\r\nP: Como funciona o processo de ativação?\r\nR: O jogo cria um valor hash com as especificações de seu computador e o envia a um servidor de ativação através da internet, juntamente com seu número de série. O servidor de ativação registra a chave de seu computador e responde com número de ativação, que por sua vez, desbloqueia a versão completa do jogo.\r\n\r\nP: Posso ativar o jogo em diferentes computadores?\r\nR: Sim. Mas lembre-se que o jogo está licenciado em seu nome, para seu uso pessoal.  O servidor de ativação pode rejeitar temporariamente um número de série, se este ser utilizado em muitos computadores em um determinado período de tempo. \r\n\r\nP: O programa não responde depois que clico várias vezes no botão Ativar.\r\nR: Às vezes, o processo de ativação pode levar até meio minuto. Seja paciente. O jogo relatará o resultado.\r\n\r\nP: Meu computador não tem acesso à Internet. Como posso ativar o jogo?\r\nR: Neste caso deverá utilizar a ativação manual. Clique em ""Introduzir seu número de série"", e depois ""Ativação Manual"". Você terá que abrir uma página web de ativação a partir de outro computador que esteja conectado à Internet.\r\n
ui_auto_adjust|Auto Ajustar
ui_screen_size|Resolução da Tela:
ui_antialiasing|Antisserrilhamento:
ui_use_desktop_resolution|Usar a da Área de Trabalho
ui_play|Jogar Mount&&Blade Warband
ui_check_for_new_version|Verificar se há uma nova versão
ui_configure|Configurar
ui_configure_caption|Configurar
ui_mountandblade_website|Site do Mount&Blade Warband
ui_current_setting|           Módulo Atual:
ui_manual_activation_text1|1) Em seu navegador, abra o seguinte endereço:
ui_manual_activation_text2|2) No site que aparecer, introduza seu número de série...
ui_manual_activation_text3|3) ... e o hardware hash deste equipamento:
ui_manual_activation_text4|4) O site, então, lhe dará um código de ativação. Escreva-o ou cole-o abaixo e clique em OK.
ui_activation_code|Código de ativação:
